GGDENAME,GDEKT,Summe_Flaeche
Aadorf,TG,793241.5493119998
Aarau,AG,1160731.8195479522
Aarberg,BE,333275.5698496627
Aarburg,AG,403386.2476304153
Aarwangen,BE,349377.49734863814
Abtwil,AG,51024.60239659946
Aclens,VD,80370.51071531781
Acquarossa,TI,224887.70711846452
Adelboden,BE,417897.79584889056
Adligenswil,LU,276432.8796196926
Adliswil,ZH,686670.2183080234
Aedermannsdorf,SO,70245.01301663271
Aefligen,BE,98250.59044734132
Aegerten,BE,120293.11260921336
Aesch (BL),BL,587190.1675329288
Aesch (LU),LU,118297.01944756882
Aesch (ZH),ZH,127638.22813622533
Aeschi (SO),SO,108163.29189473063
Aeschi bei Spiez,BE,209718.1030209971
Aeugst am Albis,ZH,184233.44757863006
Affeltrangen,TG,372101.078907449
Affoltern am Albis,ZH,709791.0847198353
Affoltern im Emmental,BE,178894.5147463082
Agarn,VS,54460.09131748154
Agiez,VD,28374.36506949833
Agno,TI,242377.5411144421
Aigle,VD,544428.8989010963
Aire-la-Ville,GE,84610.4955635121
Airolo,TI,161905.56442069536
Alberswil,LU,55540.76098877457
Albinen,VS,36538.61363156906
Albula/Alvra,GR,173287.5174614823
Alchenstorf,BE,76990.34535218221
Allaman,VD,78458.5391230695
Alle,JU,210936.11170525043
Allmendingen,BE,65223.70686993857
Allschwil,BL,933462.8672723009
Alpnach,OW,342491.95627514395
Alpthal,SZ,75199.34975583006
Altbüron,LU,98264.76181904005
Altdorf (UR),UR,478316.70639878913
Altendorf,SZ,443647.4059382988
Altikon,ZH,72028.20186114685
Altishofen,LU,194680.66144909683
Altnau,TG,243266.81599492114
Alto Malcantone,TI,122541.62398015513
Altstätten,SG,1123259.5148399372
Amden,SG,276773.71201180364
Amlikon-Bissegg,TG,247015.43131442866
Ammerswil,AG,54380.013893506504
Amriswil,TG,1008608.178443772
Amsoldingen,BE,79178.54216895952
Andeer,GR,90548.08713206342
Andelfingen,ZH,309780.1459142807
Andermatt,UR,119629.4292533232
Andwil (SG),SG,146913.59874459458
Anières,GE,151198.5939164964
Anniviers,VS,413230.5446252851
Anwil,BL,69106.47045948454
Appenzell,AI,583125.111761831
Aranno,TI,30445.833045765376
Arbaz,VS,121730.76094622255
Arbedo-Castione,TI,259760.1181103637
Arboldswil,BL,59309.09660210876
Arbon,TG,991369.1280635558
Arch,BE,137486.2826582816
Ardon,VS,189481.01190823878
Arisdorf,BL,173697.4263859718
Aristau,AG,112564.13010821078
Arlesheim,BL,569096.379740354
Arnex-sur-Nyon,VD,15860.369793474942
Arnex-sur-Orbe,VD,56679.659681019606
Arni (AG),AG,133588.88756901913
Arni (BE),BE,134452.25866535874
Arogno,TI,81593.84941118526
Arosa,GR,411408.27295729006
Arth,SZ,688572.1617849084
Arzier-Le Muids,VD,166599.22795542222
Ascona,TI,456610.2087738634
Assens,VD,108677.05748909169
Astano,TI,39934.05980779073
Attalens,FR,205111.95121521578
Attinghausen,UR,85238.36795010138
Attiswil,BE,134106.93855309783
Au (SG),SG,545562.2751913088
Aubonne,VD,273096.5724417069
Auboranges,FR,25881.001720678414
Auenstein,AG,132707.76038302077
Augst,BL,86293.7318318818
Ausserberg,VS,43797.658039095855
Auswil,BE,74872.7012133104
Autigny,FR,66934.02715504028
Auw,AG,127408.158600659
Avegno Gordevio,TI,114767.45930768659
Avenches,VD,365788.24702294474
Avers,GR,25789.677456712572
Avry,FR,181747.14874584382
Avully,GE,70717.55305673789
Avusy,GE,80103.22256711291
Ayent,VS,295969.2486192897
Baar,ZG,1223696.3106081292
Bachenbülach,ZH,243961.03680311656
Bachs,ZH,65623.42614395064
Bad Ragaz,SG,502959.10414027894
Baden,AG,1025555.726725461
Balerna,TI,338090.54809635575
Balgach,SG,408349.5250573905
Ballaigues,VD,89923.21675525518
Ballens,VD,53103.64222304175
Ballwil,LU,166817.6607386357
Balm bei Günsberg,SO,28528.15768597448
Balsthal,SO,468766.4522227306
Baltschieder,VS,62853.99595323604
Bannwil,BE,86218.85806360623
Bardonnex,GE,124700.44105596335
Bargen (BE),BE,105149.42172849702
Bargen (SH),SH,31392.588648985282
Bas-Intyamon,FR,95701.72753762722
Basadingen-Schlattingen,TG,354475.3390209766
Basel,BS,6026427.4411542425
Basse-Allaine,JU,163951.0537167429
Bassersdorf,ZH,503225.8769991825
Bassins,VD,92595.0008565614
Baulmes,VD,103102.79043214518
Bauma,ZH,505904.70184287155
Bavois,VD,78824.29286862676
Beatenberg,BE,156416.7251803476
Beckenried,NW,198129.7774634497
Bedano,TI,131916.04745118914
Bedigliora,TI,51171.112323001114
Bedretto,TI,18429.664257546723
Beggingen,SH,65577.81128243389
Begnins,VD,104070.16413965925
Beinwil (Freiamt),AG,93627.57984400232
Beinwil (SO),SO,49560.92524821767
Beinwil am See,AG,264652.2583288686
Belfaux,FR,162811.37873179335
Bellach,SO,386252.2427130495
Bellevue,GE,156963.75860231667
Bellikon,AG,113577.18470056551
Bellinzona,TI,2398815.9048313377
Bellmund,BE,105831.34398050641
Bellwald,VS,83652.65395597406
Belmont-Broye,FR,468136.39758568356
Belmont-sur-Lausanne,VD,148130.26295615503
Belmont-sur-Yverdon,VD,41063.31376847842
Belp,BE,677350.8759375319
Belprahon,BE,31327.712020951625
Benken (SG),SG,370250.74095820263
Benken (ZH),ZH,78672.08235754812
Bennwil,BL,87106.76612360902
Bercher,VD,92072.3241902116
Berg (SG),SG,66183.24685331163
Berg (TG),TG,398436.0014407655
Berg am Irchel,ZH,70763.43261050117
Bergdietikon,AG,198620.18718427673
Bergün Filisur,GR,141646.31426738072
Berikon,AG,228779.7286088654
Beringen,SH,378292.3849647483
Berken,BE,9311.943138757002
Berlingen,TG,95101.79330964305
Bern,BE,5589093.084197553
Berneck,SG,337703.69211277046
Bernex,GE,396523.5030788575
Berolle,VD,30096.160467989892
Beromünster,LU,469644.1855310854
Besenbüren,AG,50086.50109491387
Bettenhausen,BE,71989.75139825956
Bettens,VD,42279.32474000636
Bettingen,BS,73127.92749978775
Bettlach,SO,301592.77107186854
Bettmeralp,VS,90641.51767842365
Bettwiesen,TG,116800.04581636807
Bettwil,AG,60811.73672130792
Beurnevésin,JU,32264.666911385506
Bever,GR,56993.80110418573
Bex,VD,539026.0370744329
Biasca,TI,417887.4440800787
Biberist,SO,615482.4040653771
Biberstein,AG,113924.09310005988
Bichelsee-Balterswil,TG,303674.72798351996
Biel-Benken,BL,250313.2062552364
Biel/Bienne,BE,2307211.1304847747
Biezwil,SO,48176.00741618729
Biglen,BE,152347.58102468777
Billens-Hennens,FR,59202.67097094256
Binn,VS,19303.199868353724
Binningen,BL,638397.85003036
Bioggio,TI,293402.2814013336
Bioley-Magnoux,VD,32427.752688423305
Birmensdorf (ZH),ZH,406133.42063637474
Birmenstorf (AG),AG,214143.7296414207
Birr,AG,196053.07648276037
Birrhard,AG,70885.54737563184
Birrwil,AG,113433.64286849683
Birsfelden,BL,473625.8778316967
Birwinken,TG,233538.35046703366
Bischofszell,TG,561727.3520333589
