GGDENAME,GDEKT,Summe_Stromertrag
Agarn,VS,10269345
Albinen,VS,7484855
Anniviers,VS,79874626
Arbaz,VS,26768568
Ardon,VS,38804641
Ausserberg,VS,9189919
Ayent,VS,63964706
Baltschieder,VS,12825690
Bellwald,VS,17252955
Bettmeralp,VS,19545518
Binn,VS,3592647
Bister,VS,715716
Bitsch,VS,12243988
Blatten,VS,4734048
Bourg-Saint-Pierre,VS,8496545
Bovernier,VS,9521112
Brig-Glis,VS,123643214
Bürchen,VS,22928208
Chalais,VS,53364295
Chamoson,VS,55948135
Champéry,VS,40235236
Chippis,VS,13269494
Collombey-Muraz,VS,102413356
Collonges,VS,7283596
Conthey,VS,120597269
Crans-Montana,VS,182979926
Dorénaz,VS,13948794
Eggerberg,VS,6404558
Eischoll,VS,7660607
Eisten,VS,1933649
Embd,VS,4449845
Ergisch,VS,4467369
Ernen,VS,12754598
Evionnaz,VS,16577903
Evolène,VS,48204536
Ferden,VS,3870911
Fiesch,VS,21144883
Fieschertal,VS,5922563
Finhaut,VS,9377575
Fully,VS,93765871
Gampel-Bratsch,VS,30730822
Goms,VS,32943749
Grengiols,VS,6736933
Grimisuat,VS,41463835
Grächen,VS,27670080
Grône,VS,28383390
Guttet-Feschel,VS,10412808
Hérémence,VS,41076758
Icogne,VS,12397965
Inden,VS,2559528
Isérables,VS,11070274
Kippel,VS,4892615
Lalden,VS,7635439
Lax,VS,6986088
Lens,VS,80237984
Leuk,VS,75727299
Leukerbad,VS,32047819
Leytron,VS,53859925
Liddes,VS,14712439
Martigny,VS,199960017
Martigny-Combe,VS,30174515
Massongex,VS,16755740
Mont-Noble,VS,31230852
Monthey,VS,126510404
Mörel-Filet,VS,11643856
Naters,VS,96688539
Nendaz,VS,137684275
Niedergesteln,VS,13842431
Noble-Contrée,VS,52927022
Oberems,VS,3912101
Obergoms,VS,25014479
Orsières,VS,71884063
Port-Valais,VS,34582832
Randa,VS,5410779
Raron,VS,26101526
Riddes,VS,59923659
Ried-Brig,VS,26092189
Riederalp,VS,20436581
Saas-Almagell,VS,6073339
Saas-Balen,VS,4727112
Saas-Fee,VS,32502243
Saas-Grund,VS,15382908
Saillon,VS,34091314
Saint-Gingolph,VS,11999065
Saint-Léonard,VS,24393112
Saint-Martin (VS),VS,13112733
Saint-Maurice,VS,42941089
Salgesch,VS,27158571
Salvan,VS,27698919
Savièse,VS,106089118
Saxon,VS,66707027
Sembrancher,VS,13158461
Sierre,VS,180160423
Simplon,VS,7651947
Sion,VS,328953428
St. Niklaus,VS,28137743
Stalden (VS),VS,14355204
Staldenried,VS,7979788
Steg-Hohtenn,VS,36899184
Termen,VS,16377151
Trient,VS,3685118
Troistorrents,VS,86498100
Turtmann-Unterems,VS,18904159
Täsch,VS,12468862
Törbel,VS,9548421
Unterbäch,VS,9302430
Val de Bagnes,VS,204635949
Val-d'Illiez,VS,47004513
Varen,VS,10543293
Vernayaz,VS,18420102
Vex,VS,37736847
Veysonnaz,VS,11750618
Vionnaz,VS,32504236
Visp,VS,77270937
Visperterminen,VS,17097993
Vouvry,VS,44002235
Vérossaz,VS,8375266
Vétroz,VS,65075101
Wiler (Lötschen),VS,11800007
Zeneggen,VS,6605001
Zermatt,VS,76036457
Zwischbergen,VS,1528535
